page,ink_ratio,edge_density,symmetry_score,tile_var_mean,tile_var_std,empty_fraction,max_empty,margin_activity,loop_intensity,cluster_intensity,mirror_intensity,gap_intensity,margin_break_intensity
9,0.5996513944223107,0.25,0.07874230295419693,0.24412603676319122,0.07204792648553848,0.015306122448979591,0.004897078353253652,0.8957503320053121,0.5769268661737442,0.40026625825299156,0.5393711514770985,0.021273748543241995,1.0
10,0.5969479225953329,0.24999288560045532,0.08318265527486801,0.2321784943342209,0.06989496201276779,0.01020408163265306,0.0049800796812749,0.9831341301460823,0.555417376881848,0.3883053445153766,0.541591327637434,0.017613220587039596,1.0
11,0.5999407133371277,0.2499027698728894,0.1141011193394661,0.17919938266277313,0.04344604164361954,0.015306122448979591,0.0049800796812749,0.9945551128818061,0.46000541222308083,0.24136689802010855,0.557050559669733,0.02143975119928449,1.0
12,0.5999976285334852,0.24999288560045532,0.16182927787303925,0.21448767185211182,0.03949343040585518,0.015306122448979591,0.0049800796812749,0.9917662682602921,0.5235738964140517,0.21940794669919544,0.5809146389365196,0.02143975119928449,1.0
13,0.5999928856004553,0.24999762853348512,0.2351006120443344,0.185132697224617,0.0407736599445343,0.025510204081632654,0.0049800796812749,0.9382470119521913,0.47073755069772744,0.22652033302519056,0.6175503060221672,0.02909281242377429,1.0
14,0.599689337886549,0.24994545627015746,0.06273627281188965,0.19338886439800262,0.044060274958610535,0.030612244897959183,0.0049800796812749,0.9718459495351925,0.4855699568649914,0.2447793053256141,0.5313681364059448,0.032919343036019184,1.0
15,0.5999667994687915,0.24998814266742553,0.11781124770641327,0.2373514622449875,0.05825819820165634,0.04081632653061224,0.0049800796812749,0.9229747675962815,0.5647261105080615,0.32365665667586857,0.5589056238532066,0.04057240426050898,1.0
16,0.6,0.24997865680136597,0.18582499027252197,0.2476108819246292,0.0656372457742691,0.030612244897959183,0.0049800796812749,0.997078353253652,0.5831878487050839,0.3646513654126061,0.592912495136261,0.032919343036019184,1.0
17,0.5982190286473155,0.24998814266742553,0.17105062305927277,0.23618920147418976,0.030899686738848686,0.015306122448979591,0.0049800796812749,0.9847277556440903,0.5626340411206256,0.17166492632693714,0.5855253115296364,0.02143975119928449,1.0
18,0.5993952760387024,0.2498363688104724,0.13658177852630615,0.17328166961669922,0.026600275188684464,0.0,0.0,0.9733067729083665,0.44931700815581843,0.1477793066038026,0.5682908892631531,0.0,1.0
